"from" "to" "type" "time"
"blastor_x" "IECarballo" "mention" "1541345998"
"YengYu78" "DGaotch" "mention" "1541346233"
"ikey2224squad" "pt_jeanette" "mention" "1541346281"
"YengYu78" "HarleyPuting" "mention" "1541346339"
"urutobi" "saveourokinawa" "mention" "1541346359"
"urutobi" "tamakidenny" "mention" "1541346359"
"AKaletMD" "AbigailWinkel" "quote" "1541346364"
"bienrikiriki" "saveourokinawa" "mention" "1541346535"
"bienrikiriki" "tamakidenny" "mention" "1541346535"
"EGil2016" "NYUAlumni" "mention" "1541346537"
"jupiterjenny" "saveourokinawa" "mention" "1541346770"
"jupiterjenny" "tamakidenny" "mention" "1541346770"
"YongCinderella" "HarleyPuting" "mention" "1541346842"
"YongCinderella" "DGaotch" "mention" "1541347019"
"YongYolly" "HarleyPuting" "mention" "1541347306"
"YongYolly" "DGaotch" "mention" "1541347357"
"HIROMI150303" "saveourokinawa" "mention" "1541347410"
"HIROMI150303" "tamakidenny" "mention" "1541347410"
"nandemoya72" "saveourokinawa" "mention" "1541347641"
"nandemoya72" "tamakidenny" "mention" "1541347641"
"chansunshine3" "HarleyPuting" "mention" "1541347746"
"chansunshine3" "MadelCarlos" "mention" "1541348031"
"chinglynn6" "MadelCarlos" "mention" "1541348105"
"cris_adalla" "HarleyPuting" "mention" "1541348319"
"EditsAth" "pt_jeanette" "mention" "1541348360"
"cris_adalla" "DGaotch" "mention" "1541348437"
"DannyCole90" "HarleyPuting" "mention" "1541348605"
"the_sagittary" "nyuniversity" "mention" "1541348629"
"DannyCole90" "DGaotch" "mention" "1541348680"
"sabor_sabole" "saveourokinawa" "mention" "1541348793"
"sabor_sabole" "tamakidenny" "mention" "1541348793"
"TOKYO_DEMOCRACY" "saveourokinawa" "mention" "1541348865"
"TOKYO_DEMOCRACY" "tamakidenny" "mention" "1541348865"
"mghinako" "saveourokinawa" "mention" "1541348905"
"mghinako" "tamakidenny" "mention" "1541348905"
"Pgs0mU1DHBFQ3X8" "saveourokinawa" "mention" "1541349061"
"Pgs0mU1DHBFQ3X8" "tamakidenny" "mention" "1541349061"
"risingtwi" "saveourokinawa" "mention" "1541349274"
"risingtwi" "tamakidenny" "mention" "1541349274"
"mori26857822" "saveourokinawa" "mention" "1541349316"
"mori26857822" "tamakidenny" "mention" "1541349316"
"sazamaru" "saveourokinawa" "mention" "1541349534"
"sazamaru" "tamakidenny" "mention" "1541349534"
"admnyanbo" "saveourokinawa" "mention" "1541349946"
"admnyanbo" "tamakidenny" "mention" "1541349946"
"munjurugasa" "saveourokinawa" "mention" "1541350357"
"munjurugasa" "tamakidenny" "mention" "1541350357"
"gohanwanyani" "saveourokinawa" "mention" "1541350407"
"gohanwanyani" "tamakidenny" "mention" "1541350407"
"shimin_fukuoka" "saveourokinawa" "mention" "1541350527"
"shimin_fukuoka" "tamakidenny" "mention" "1541350527"
"JarredRoy8" "pt_jeanette" "mention" "1541352261"
"momonopen306" "saveourokinawa" "mention" "1541352926"
"momonopen306" "tamakidenny" "mention" "1541352926"
"crz59930288" "saveourokinawa" "mention" "1541353501"
"crz59930288" "tamakidenny" "mention" "1541353501"
"hakshik" "saveourokinawa" "mention" "1541353632"
"hakshik" "tamakidenny" "mention" "1541353632"
"JimSua01" "nellygd" "mention" "1541354966"
"TomuTomu144" "saveourokinawa" "mention" "1541356174"
"TomuTomu144" "tamakidenny" "mention" "1541356174"
"Zsv58WzxyyWq8NF" "saveourokinawa" "mention" "1541356912"
"Zsv58WzxyyWq8NF" "tamakidenny" "mention" "1541356912"
"shmoo_plot" "saveourokinawa" "mention" "1541357213"
"shmoo_plot" "tamakidenny" "mention" "1541357213"
"yokohamashiminr" "saveourokinawa" "mention" "1541358481"
"yokohamashiminr" "tamakidenny" "mention" "1541358481"
"poo8764" "saveourokinawa" "mention" "1541359439"
"poo8764" "tamakidenny" "mention" "1541359439"
"ptnewkirk" "sarahelizalewis" "quote" "1541359720"
"helo40456126" "pt_jeanette" "mention" "1541359750"
"DRABDOLAN" "pt_jeanette" "mention" "1541359750"
"TomP3t3rs" "JoshVarlin" "mention" "1541359846"
"power2dapeeple" "saveourokinawa" "mention" "1541360366"
"power2dapeeple" "tamakidenny" "mention" "1541360366"
"ali21621345" "pt_jeanette" "mention" "1541361516"
"michi_lunlun" "saveourokinawa" "mention" "1541361566"
"michi_lunlun" "tamakidenny" "mention" "1541361566"
"MarkWitkowski10" "Sandy_English" "mention" "1541362093"
"Az3Rka" "pt_jeanette" "mention" "1541363311"
"addisoncooper12" "pt_jeanette" "mention" "1541365793"
"stl_2004" "stl_2004" "reply" "1541365876"
"stl_2004" "davidhogg111" "mention" "1541365876"
"stl_2004" "taylorswift13" "mention" "1541365876"
"stl_2004" "Culinary226" "mention" "1541365876"
"stl_2004" "BetoORourke" "mention" "1541365876"
"stl_2004" "nyuniversity" "mention" "1541365876"
"stl_2004" "MissouriState" "mention" "1541365876"
"stl_2004" "MoDemParty" "mention" "1541365876"
"stl_2004" "AARPadvocates" "mention" "1541365876"
"stl_2004" "Oprah" "mention" "1541365876"
"stl_2004" "AARPCA" "mention" "1541365876"
"stl_2004" "NAACP" "mention" "1541365876"
"stl_2004" "ncnaacp" "mention" "1541365876"
"stl_2004" "HeidiHeitkamp" "mention" "1541365876"
"ourlatinamerica" "evgrieve" "quote" "1541365901"
"Coolgamer4267" "pt_jeanette" "mention" "1541366429"
"WrinklySquash" "pt_jeanette" "mention" "1541366429"
"citrus_kyoto" "saveourokinawa" "mention" "1541368137"
"citrus_kyoto" "tamakidenny" "mention" "1541368137"
"greenbeans06" "saveourokinawa" "mention" "1541368325"
"greenbeans06" "tamakidenny" "mention" "1541368325"
"sr_thoma" "saveourokinawa" "mention" "1541368567"
